Date,SPY US Equity,IWM US Equity,EFA US Equity,EEM US Equity,DBC US Equity,GLD US Equity,VNQ US Equity,TLT US Equity,SHY US Equity,FDN US Equity,IBB US Equity,IEZ US Equity,IGV US Equity,IHE US Equity,IHI US Equity,ITA US Equity,ITB US Equity,IYJ US Equity,IYT US Equity,IYW US Equity,IYZ US Equity,KBE US Equity,KCE US Equity,KIE US Equity,PBJ US Equity,PBS US Equity,SMH US Equity,VNQ US Equity,XLB US Equity,XLP US Equity,XLU US Equity,XOP US Equity,XRT US Equity
20100816,87.2154,52.7764,37.1152,32.8648,21.7068,119.73,32.1267,78.354,76.748,26.206,26.5556,33.7851,44.069,48.9611,8.0964,22.186,10.3268,23.052,67.0779,12.044,15.0953,18.5564,24.492,9.9738,13.4728,10.7161,NA,32.1267,24.593,19.8491,20.6723,139.1685,16.1119
20100817,88.2868,53.6852,37.529,33.209,22.0177,119.75,32.863,77.9056,76.7298,26.6022,26.7799,34.5769,44.9135,49.5866,8.2721,22.6688,10.63,23.5043,68.5691,12.1729,15.3055,18.5726,24.9653,10.1263,13.6736,10.85,NA,32.863,25.1718,20.0419,20.8743,141.5013,16.3167
20100818,88.448,53.8481,37.5145,33.185,21.9303,120.22,32.8921,78.1149,76.748,26.5923,26.7766,34.2737,45.0688,49.6551,8.3053,22.8036,10.8384,23.5427,68.922,12.2408,15.3805,18.6376,24.95,10.159,13.726,10.9437,NA,32.8921,25.2657,20.0567,20.7598,140.3523,16.5216
20100819,86.9092,52.3735,36.9119,32.9288,21.7068,120.39,32.0557,79.333,76.7662,26.3926,26.2241,33.5324,45.4862,48.8411,8.1123,22.26,10.4689,23.0606,67.4132,12.0847,15.1178,18.1825,24.3698,9.8839,13.5688,10.6623,NA,32.0557,24.6868,19.8194,20.4635,138.2981,16.2732
20100820,86.6273,52.4249,36.5271,32.8328,21.5708,119.97,31.9523,79.2433,76.7389,26.7719,26.1624,32.8923,46.7481,48.7983,8.0388,22.1556,10.4121,22.9454,67.2102,12.1096,15.0578,18.1174,24.5072,9.8539,13.595,10.5966,NA,31.9523,24.6321,19.8194,20.5174,136.1741,16.3124
20100823,86.2999,51.7134,36.4545,32.5366,21.425,119.78,31.7844,79.2582,76.748,26.5324,26.0389,32.7996,46.3307,48.7983,7.9873,21.7206,10.2321,22.6894,66.5308,11.9875,14.9527,17.9955,24.3622,9.8049,13.6125,10.4652,NA,31.7844,24.3583,19.8639,20.6521,136.4875,16.1468
20100824,85.0161,51.1218,35.9535,32.1204,21.1821,120.36,31.6552,80.5286,76.8026,26.0632,25.5741,32.5385,45.9715,48.1556,7.6376,21.2727,10.251,22.2585,65.172,11.7839,14.8626,17.6135,23.8201,9.6469,13.5077,10.315,NA,31.6552,23.7951,19.7675,20.6874,133.467,15.8504
20100825,85.3464,51.8933,35.9898,31.9123,21.289,121.36,32.159,80.2671,76.7321,26.2828,25.9316,32.429,46.0783,48.5327,7.7167,21.3694,10.5637,22.3054,65.3573,11.8563,14.9752,17.5241,23.8735,9.7395,13.5863,10.3714,NA,32.159,23.8655,19.812,20.6723,132.4138,16.1163
20100826,84.7744,51.5076,35.9753,31.7122,21.5319,120.96,31.9652,81.0219,76.7298,26.1331,25.5904,32.05,45.7968,48.2705,7.6613,21.4249,10.45,22.2115,65.4808,11.7262,14.9527,17.4347,23.5529,9.6632,13.5164,10.3525,NA,31.9652,23.8342,19.6637,20.578,132.4834,15.9158
20100827,86.0875,52.8536,36.6795,32.4086,21.9011,121.01,32.4949,78.7277,76.6752,26.6921,25.9999,33.2713,46.6316,48.824,7.7879,21.9164,10.6584,22.6809,66.8926,11.8699,15.0953,17.8086,23.9423,10.0065,13.6911,10.5215,NA,32.4949,24.546,19.7898,20.9686,136.209,16.1119
20100830,84.8396,51.6962,36.1495,31.8723,21.8622,120.91,32.243,80.2342,76.7662,26.2628,25.6749,32.7659,45.9424,48.0871,7.6518,21.551,10.4026,22.3097,65.8073,11.7251,14.8926,17.3859,23.2857,9.7885,13.499,10.315,NA,32.243,24.1784,19.6192,20.6521,135.1644,15.7066
20100831,84.8388,51.5933,36.2584,32.0644,21.5708,122.08,32.4884,81.1265,76.7935,26.2129,25.5384,32.4711,45.8453,47.95,7.5743,21.3422,10.4121,22.2329,65.8602,11.6573,15.0352,17.5566,23.2475,9.8866,13.5339,10.2868,NA,32.4884,24.2801,19.6341,20.7463,134.1199,15.6543
20100901,87.3765,53.5909,37.5508,33.193,21.9983,121.69,33.5477,79.4492,76.7499,27.1812,26.2826,33.9031,47.2722,49.1667,7.78,22.1947,10.791,23.0648,68.4103,11.9626,15.3955,18.2637,24.095,10.2966,13.8046,10.6341,NA,33.5477,25.0075,19.9826,21.1975,138.6462,16.2819
20100902,88.1902,54.1824,37.7613,33.249,22.1537,122.29,33.974,78.6097,76.7294,27.6404,26.5979,34.3158,47.7673,49.5866,7.8828,22.4513,11.0374,23.4104,69.3015,12.0598,15.4781,18.4751,24.2935,10.377,14.0141,10.8312,NA,33.974,25.3048,20.1086,21.1975,140.1434,16.6392
20100903,89.3341,55.1512,38.1098,33.6412,22.2703,121.86,34.4713,77.6354,76.693,27.9997,26.8449,34.6948,48.2914,50.0322,8.0031,22.7993,11.1889,23.7731,70.0779,12.2725,15.6282,18.8002,24.9958,10.6467,14.0665,11.0377,NA,34.4713,25.602,20.2347,21.2918,142.5807,16.8964
20100907,88.3271,54.1053,37.5798,33.1529,22.3869,122.7,33.9417,79.2243,76.775,27.6054,26.5751,34.2315,48.175,49.7237,7.9018,22.4165,10.9521,23.5128,69.4338,12.1752,15.5382,18.28,24.4716,10.3661,14.0403,10.7561,NA,33.9417,25.3517,20.1531,21.184,139.9345,16.6436
20100908,88.9474,54.4225,37.8703,33.5115,22.4355,122.71,34.0127,78.5947,76.7203,28.0397,27.0269,34.7201,48.6215,50.1179,7.8955,22.5905,10.99,23.7262,70.3074,12.2317,15.6207,18.5238,24.7363,10.5023,14.0665,10.8406,NA,34.0127,25.5473,20.2421,21.083,141.3621,16.8179
20100909,89.3583,54.4568,38.226,33.7068,22.3092,121.56,33.6187,77.0432,76.6383,27.9897,27.2316,34.7706,49.068,50.7776,7.9857,22.5005,11.0942,23.7731,70.1397,12.2611,15.7483,18.8246,25.0493,10.5895,14.0491,10.8875,NA,33.6187,25.4612,20.3088,21.2918,141.188,16.7264
20100910,89.8111,54.6282,38.3422,33.8253,22.5424,121.73,33.7996,76.691,76.6292,28.0397,27.5014,35.4529,49.2039,51.0861,8.0569,22.7645,11.1321,23.9224,70.3426,12.2566,15.7784,18.8327,25.1638,10.6004,14.1276,11.0095,NA,33.7996,25.6724,20.4052,21.1706,142.7548,16.8659
20100913,90.8084,55.9571,39.0392,34.6337,22.7076,121.62,34.3551,77.0695,76.693,28.6186,27.5989,35.9836,50.1687,51.2832,8.1392,23.0602,11.3121,24.2296,71.0044,12.5348,15.921,19.3692,25.7669,10.7993,14.1888,11.2066,NA,34.3551,26.087,20.4274,21.2446,144.4957,17.2319
20100914,90.752,55.717,39.3006,34.6177,22.7756,124.024,34.2259,77.8077,76.7477,28.5987,27.5924,35.6719,50.2813,51.4117,8.2024,22.8167,11.2742,24.14,71.0927,12.5891,15.8534,19.1497,25.631,10.7638,14.1626,11.1785,NA,34.2259,26.0401,20.4645,21.2177,144.1475,17.5719
20100915,91.0984,56.0321,39.3151,34.6657,22.7367,123.94,34.523,76.6535,76.7659,28.7284,27.8199,35.7477,50.3978,51.8401,8.3053,22.7471,11.1605,24.1784,71.5515,12.6615,15.9735,19.1497,25.683,10.8238,14.2412,11.2254,NA,34.523,25.9931,20.6054,21.0965,142.8941,17.5632
20100916,91.0742,55.6742,39.1263,34.4896,22.6201,124.63,34.3421,75.8965,76.7841,28.7484,27.7256,35.2929,50.3396,51.6431,8.2784,22.7297,10.8953,24.1357,70.7662,12.7474,15.8609,19.0359,25.5532,10.7965,14.2412,11.094,NA,34.3421,26.1183,20.6276,21.0224,142.1281,17.5588
20100917,91.1084,55.9056,38.9375,34.4336,22.6979,124.5425,34.4455,76.2038,76.8023,28.9181,27.7906,35.3434,50.8929,51.7116,8.2974,23.0298,10.8574,24.3192,70.8809,12.7995,16.0111,18.9079,25.5557,10.8108,14.2263,11.1985,NA,34.4455,26.1253,20.5735,20.9865,141.2314,17.6082
20100920,92.5014,57.4595,39.6128,34.9779,22.8825,124.87,35.2851,76.646,76.8115,29.6568,28.2131,36.2177,51.7956,52.5685,8.4224,23.4952,11.2742,24.6989,71.5074,12.9804,16.2663,19.3393,26.0145,11.0294,14.3838,11.54,NA,35.2851,26.2909,20.7975,21.2654,143.5667,17.9488
20100921,92.3151,57.123,39.6055,34.8738,22.6396,126.01,34.7684,77.7103,76.8661,29.6268,28.2261,36.2784,51.4268,52.3543,8.3876,23.4734,11.2647,24.7245,72.0986,12.96,16.2963,19.0869,25.6627,10.9857,14.2709,11.4836,NA,34.7684,26.1712,20.7602,21.1565,142.9393,17.7654
20100922,91.8616,56.4457,39.5474,34.8978,22.7756,126.2,34.2969,78.4074,76.857,29.4272,28.1189,35.9836,50.0678,52.26,8.3638,23.2734,11.1653,24.5795,71.4809,12.8877,16.2062,18.7532,25.1045,10.7589,14.2263,11.2673,NA,34.2969,26.235,20.7975,21.3062,141.4405,17.7261
20100923,91.1148,55.7627,39.119,34.6737,22.795,126.3,33.4508,78.6337,76.8661,29.427,28.0019,35.658,49.9513,52.0277,8.2895,22.9115,10.9963,24.2464,70.0981,12.8823,16.1321,18.4195,24.6916,10.5403,14.1213,11.2165,NA,33.4508,25.9876,20.6631,21.0613,140.2903,17.7479
20100924,92.9955,57.5762,40.2081,35.314,23.1448,126.69,34.3971,77.5754,76.857,30.2457,28.4497,36.7623,50.9608,52.836,8.4809,23.5486,11.3188,24.8866,72.0898,13.1586,16.3965,18.9404,25.4715,10.8627,14.34,11.54,NA,34.3971,26.6261,20.9394,21.4014,143.4272,18.2675
20100927,92.55,57.4301,40.0048,35.248,22.9894,126.72,33.9735,78.9245,76.8752,30.1858,28.2208,36.3914,50.8055,52.664,8.4081,23.313,11.3473,24.7277,72.1163,13.1405,16.4871,18.6474,25.2727,10.8053,14.3138,11.5118,NA,33.9735,26.4745,20.8199,21.4422,143.0438,18.1845
20100928,92.874,57.9974,40.2371,35.5061,22.9894,127.85,34.1103,79.4642,76.8935,30.2557,28.3908,36.7454,50.9802,53.094,8.5363,23.4962,11.4801,24.8823,72.3553,13.1676,16.5249,18.7125,25.3415,10.9092,14.3663,11.6059,NA,34.1103,26.4745,20.9543,21.4559,143.9501,18.4247
20100929,92.712,58.1607,40.1718,35.6262,23.2906,127.95,33.8431,79.1344,76.8752,30.2058,28.162,37.4367,50.7279,52.8704,8.5236,23.5704,11.3473,24.8823,72.6652,13.1699,16.472,18.623,25.1733,10.8409,14.34,11.5589,NA,33.8431,26.2669,20.8946,21.415,147.2613,18.3461
20100930,92.4366,58.0146,39.8741,35.8343,23.4266,127.91,33.9409,79.0819,76.8844,30.0461,28.1947,37.2175,50.3396,52.6468,8.5252,23.5093,11.4327,24.8222,72.2757,13.0997,16.4569,18.68,25.1657,10.7917,14.3313,11.5589,NA,33.9409,26.1632,20.8199,21.347,147.2961,18.2587
20101001,92.8254,58.324,40.272,36.3626,23.4752,128.91,34.1103,78.6999,76.8984,29.8664,28.2045,37.5378,50.5628,52.6296,8.5426,23.4788,11.3947,24.8866,72.1075,13.0906,16.5551,18.859,25.4104,10.7698,14.4073,11.6059,NA,34.1103,26.5064,20.8572,21.4627,148.8994,18.3242
20101004,92.1289,57.5333,39.6926,36.2505,23.3975,128.46,34.4232,78.903,76.9075,29.6967,28.028,36.8213,49.8931,52.1996,8.4303,23.1821,11.2524,24.5988,71.2312,12.9498,16.472,18.7939,25.1351,10.707,14.3663,11.5118,NA,34.4232,26.0834,20.7956,21.4218,146.9824,18.1496
20101005,93.9836,59.1663,40.818,36.9069,23.8736,130.99,34.9706,78.4291,76.944,30.4354,28.5772,37.9256,50.9705,53.3348,8.6328,23.854,11.3947,25.2175,72.9661,13.231,16.7816,19.3474,25.9151,10.9638,14.585,11.8316,NA,34.9706,26.8177,20.9917,21.6599,150.677,18.4334
20101006,93.9755,58.9686,41.1592,36.8909,23.8833,131.81,34.7816,79.4146,76.9531,29.6068,28.3712,37.9171,49.5339,53.2574,8.6138,23.9718,11.3568,25.3292,73.2671,13.1291,16.6533,19.2741,25.9074,10.9543,14.55,11.6153,NA,34.7816,27.0731,21.0813,21.5579,151.7924,18.3461
20101007,93.8621,58.7967,41.0213,36.5627,23.6404,130.37,34.8794,78.7526,77.0169,29.7067,28.417,37.5631,50.2716,53.4552,8.5411,23.9413,11.2714,25.3206,73.1786,13.1631,16.5324,19.1927,25.7009,10.9229,14.5149,11.7187,NA,34.8794,26.8017,21.0066,21.5987,151.0256,18.512
20101008,94.3865,59.5444,41.2899,37.0029,24.4274,131.66,34.9771,78.4065,77.0169,29.8863,28.623,38.4061,50.2425,53.6788,8.5505,24.1114,11.3853,25.514,73.931,13.2673,16.5173,19.1521,25.8553,11.0431,14.5675,11.9257,NA,34.9771,27.3285,21.0514,21.6667,153.4654,18.6997
